Date,load
7/2/2015 0:00,18493
7/2/2015 1:00,17090
7/2/2015 2:00,16052
7/2/2015 3:00,15356
7/2/2015 4:00,14936
7/2/2015 5:00,14884
7/2/2015 6:00,15314
7/2/2015 7:00,16591
7/2/2015 8:00,18271
7/2/2015 9:00,19470
7/2/2015 10:00,20364
7/2/2015 11:00,21181
7/2/2015 12:00,21714
7/2/2015 13:00,22057
7/2/2015 14:00,22313
7/2/2015 15:00,22337
7/2/2015 16:00,22136
7/2/2015 17:00,21972
7/2/2015 18:00,21717
7/2/2015 19:00,21071
7/2/2015 20:00,20473
7/2/2015 21:00,20195
7/2/2015 22:00,19896
7/2/2015 23:00,18717
7/3/2015 0:00,17352
7/3/2015 1:00,16108
7/3/2015 2:00,15179
7/3/2015 3:00,14519
7/3/2015 4:00,14107
7/3/2015 5:00,13947
7/3/2015 6:00,13996
7/3/2015 7:00,14541
7/3/2015 8:00,15620
7/3/2015 9:00,16746
7/3/2015 10:00,17752
7/3/2015 11:00,18535
7/3/2015 12:00,19062
7/3/2015 13:00,19430
7/3/2015 14:00,19745
7/3/2015 15:00,20061
7/3/2015 16:00,20435
7/3/2015 17:00,20675
7/3/2015 18:00,20585
7/3/2015 19:00,20138
7/3/2015 20:00,19525
7/3/2015 21:00,19172
7/3/2015 22:00,19034
7/3/2015 23:00,18112
7/4/2015 0:00,16956
7/4/2015 1:00,15872
7/4/2015 2:00,15036
7/4/2015 3:00,14479
7/4/2015 4:00,14118
7/4/2015 5:00,13930
7/4/2015 6:00,13891
7/4/2015 7:00,14069
7/4/2015 8:00,14758
7/4/2015 9:00,15804
7/4/2015 10:00,16822
7/4/2015 11:00,17572
7/4/2015 12:00,17963
7/4/2015 13:00,18211
7/4/2015 14:00,18192
7/4/2015 15:00,18058
7/4/2015 16:00,17974
7/4/2015 17:00,18087
7/4/2015 18:00,18168
7/4/2015 19:00,17927
7/4/2015 20:00,17503
7/4/2015 21:00,17246
7/4/2015 22:00,17159
7/4/2015 23:00,16777
7/5/2015 0:00,16141
7/5/2015 1:00,15281
7/5/2015 2:00,14584
7/5/2015 3:00,14057
7/5/2015 4:00,13744
7/5/2015 5:00,13582
7/5/2015 6:00,13440
7/5/2015 7:00,13566
7/5/2015 8:00,14354
7/5/2015 9:00,15567
7/5/2015 10:00,16691
7/5/2015 11:00,17785
7/5/2015 12:00,18706
7/5/2015 13:00,19403
7/5/2015 14:00,19949
7/5/2015 15:00,20348
7/5/2015 16:00,20764
7/5/2015 17:00,21148
7/5/2015 18:00,21343
7/5/2015 19:00,21123
7/5/2015 20:00,20670
7/5/2015 21:00,20539
7/5/2015 22:00,20580
7/5/2015 23:00,19517
7/6/2015 0:00,18130
7/6/2015 1:00,16923
7/6/2015 2:00,16095
7/6/2015 3:00,15537
7/6/2015 4:00,15261
7/6/2015 5:00,15325
7/6/2015 6:00,15803
7/6/2015 7:00,17065
7/6/2015 8:00,18915
7/6/2015 9:00,20549
7/6/2015 10:00,22019
7/6/2015 11:00,23238
7/6/2015 12:00,24085
7/6/2015 13:00,24614
7/6/2015 14:00,25089
7/6/2015 15:00,25381
7/6/2015 16:00,25580
7/6/2015 17:00,25621
7/6/2015 18:00,25415
7/6/2015 19:00,24683
7/6/2015 20:00,23922
7/6/2015 21:00,23446
7/6/2015 22:00,23139
7/6/2015 23:00,21698
7/7/2015 0:00,19969
7/7/2015 1:00,18563
7/7/2015 2:00,17683
7/7/2015 3:00,17136
7/7/2015 4:00,16843
7/7/2015 5:00,16974
7/7/2015 6:00,17651
7/7/2015 7:00,19086
7/7/2015 8:00,21006
7/7/2015 9:00,22626
7/7/2015 10:00,23979
7/7/2015 11:00,25154
7/7/2015 12:00,26127
7/7/2015 13:00,26871
7/7/2015 14:00,27642
7/7/2015 15:00,28023
7/7/2015 16:00,28043
7/7/2015 17:00,28172
7/7/2015 18:00,27882
7/7/2015 19:00,27070
7/7/2015 20:00,26232
7/7/2015 21:00,25652
7/7/2015 22:00,25164
7/7/2015 23:00,23422
7/8/2015 0:00,21433
7/8/2015 1:00,19820
7/8/2015 2:00,18682
7/8/2015 3:00,17953
7/8/2015 4:00,17588
7/8/2015 5:00,17523
7/8/2015 6:00,18064
7/8/2015 7:00,19436
7/8/2015 8:00,21111
7/8/2015 9:00,22320
7/8/2015 10:00,23232
7/8/2015 11:00,24050
7/8/2015 12:00,24785
7/8/2015 13:00,25462
7/8/2015 14:00,26092
7/8/2015 15:00,26609
7/8/2015 16:00,26567
7/8/2015 17:00,26146
7/8/2015 18:00,25603
7/8/2015 19:00,24933
7/8/2015 20:00,24309
7/8/2015 21:00,24012
